,pnu,ldCode,pblntfPclnd,lndpclAr,prposArea1,lndcgrCode,tpgrphHgCode,tpgrphFrmCode,roadSideCode,pclndIndex,pclndChgRt,juso,trafficAmount,distance
170,4111313200100070003,4111313200,492000,473,43,08,02,04,08,105.126,0.457,경기도 수원시 권선구 구운동 7-3,505562,2.99042344745099
171,4111313200100070004,4111313200,492000,307,43,08,02,04,08,105.126,0.457,경기도 수원시 권선구 구운동 7-4,505562,3.006347496742082
172,4111313200100070009,4111313200,66300,645,43,05,03,04,12,105.126,0.457,경기도 수원시 권선구 구운동 7-9,505562,3.012502632745715
173,4111313200100070011,4111313200,91100,33138,43,05,03,07,01,105.126,0.457,경기도 수원시 권선구 구운동 7-11,505562,3.03525836056049
174,4111313200100070012,4111313200,70900,516,43,05,03,03,08,105.126,0.457,경기도 수원시 권선구 구운동 7-12,505562,3.02028238694204
175,4111313200100070015,4111313200,92100,1531,43,05,03,07,01,105.126,0.457,경기도 수원시 권선구 구운동 7-15,505562,2.960627130690878
176,4111313200100070017,4111313200,92100,1966,43,05,03,07,01,105.126,0.457,경기도 수원시 권선구 구운동 7-17,505562,2.955250370010622
177,4111313200100090000,4111313200,1045000,714,43,08,02,05,03,105.126,0.457,경기도 수원시 권선구 구운동 9,505562,2.892190317373374
178,4111313200100090002,4111313200,601000,154,43,01,02,04,03,105.126,0.457,경기도 수원시 권선구 구운동 9-2,505562,2.898770451908676
179,4111313200100090003,4111313200,578900,74,43,01,02,04,01,105.126,0.457,경기도 수원시 권선구 구운동 9-3,505562,2.909087065130534
180,4111313300100010001,4111313300,1317000,115,14,08,02,05,04,107.803,0.799,경기도 수원시 권선구 탑동 1-1,1553317,3.512810478203517
181,4111313300100010002,4111313300,1430000,894,14,08,02,04,05,107.803,0.799,경기도 수원시 권선구 탑동 1-2,1553317,3.562090375622091
182,4111313300100010003,4111313300,1344000,173,14,08,02,04,04,107.803,0.799,경기도 수원시 권선구 탑동 1-3,1553317,3.521390931063487
183,4111313300100010007,4111313300,429000,36,14,14,02,04,10,107.803,0.799,경기도 수원시 권선구 탑동 1-7,1553317,3.537441641409573
184,4111313300100010009,4111313300,1098000,152,14,08,02,04,06,107.803,0.799,경기도 수원시 권선구 탑동 1-9,1553317,3.550707478720839
185,4111313300100010014,4111313300,1344000,408,14,08,02,04,04,107.803,0.799,경기도 수원시 권선구 탑동 1-14,1553317,3.530822754154423
186,4111313300100010015,4111313300,1430000,603,14,08,02,04,05,107.803,0.799,경기도 수원시 권선구 탑동 1-15,1553317,3.542332415029063
187,4111313300100010016,4111313300,396000,42,14,14,00,00,00,107.803,0.799,경기도 수원시 권선구 탑동 1-16,1553317,3.617322960943561
188,4111313300100010018,4111313300,429000,9,14,14,02,04,10,107.803,0.799,경기도 수원시 권선구 탑동 1-18,1553317,3.523097599881632
189,4111313300100010019,4111313300,429000,13,14,14,02,04,06,107.803,0.799,경기도 수원시 권선구 탑동 1-19,1553317,3.551974458215043
